r_mm,theta_deg,thickness_nm,data_source
0.0,0.0,142.76193663572778,SYNTHETIC
18.375,0.0,146.07378157847393,SYNTHETIC
36.75,0.0,149.29267725578887,SYNTHETIC
55.125,0.0,150.53688578524455,SYNTHETIC
73.5,0.0,149.28027486313516,SYNTHETIC
91.875,0.0,148.4543868601962,SYNTHETIC
110.25,0.0,145.56352769040126,SYNTHETIC
128.625,0.0,142.48043233656333,SYNTHETIC
147.0,0.0,138.75985593045172,SYNTHETIC
0.0,90.0,142.84321119169343,SYNTHETIC
18.375,90.0,147.1964934728037,SYNTHETIC
36.75,90.0,149.51375891108114,SYNTHETIC
55.125,90.0,150.3410796174969,SYNTHETIC
73.5,90.0,150.89775623687817,SYNTHETIC
91.875,90.0,148.70431946707362,SYNTHETIC
110.25,90.0,145.5619390093549,SYNTHETIC
128.625,90.0,142.2239762914136,SYNTHETIC
147.0,90.0,138.66520325477168,SYNTHETIC
0.0,180.0,142.57483241009322,SYNTHETIC
18.375,180.0,146.2026321046072,SYNTHETIC
36.75,180.0,149.4470980217483,SYNTHETIC
55.125,180.0,150.87695847006026,SYNTHETIC
73.5,180.0,151.55206480960754,SYNTHETIC
91.875,180.0,147.63921589988715,SYNTHETIC
110.25,180.0,147.03091026304185,SYNTHETIC
128.625,180.0,141.8355792639755,SYNTHETIC
147.0,180.0,137.90996207137832,SYNTHETIC
0.0,270.0,142.52460515738758,SYNTHETIC
18.375,270.0,146.06860639981556,SYNTHETIC
36.75,270.0,149.8155662986372,SYNTHETIC
55.125,270.0,150.40349005497688,SYNTHETIC
73.5,270.0,149.6893451906244,SYNTHETIC
91.875,270.0,149.09056017631866,SYNTHETIC
110.25,270.0,146.0345950504687,SYNTHETIC
128.625,270.0,142.14044917470198,SYNTHETIC
147.0,270.0,139.18330458850824,SYNTHETIC
