r_mm,theta_deg,thickness_nm,data_source
0.0,0.0,173.11266069080762,SYNTHETIC
18.375,0.0,176.52817845820363,SYNTHETIC
36.75,0.0,178.87425022502265,SYNTHETIC
55.125,0.0,180.47348455780903,SYNTHETIC
73.5,0.0,180.05043524333075,SYNTHETIC
91.875,0.0,180.11151233496665,SYNTHETIC
110.25,0.0,175.93916869528596,SYNTHETIC
128.625,0.0,173.22193531830715,SYNTHETIC
147.0,0.0,168.89208675622245,SYNTHETIC
0.0,90.0,172.62119976590898,SYNTHETIC
18.375,90.0,177.47428115384022,SYNTHETIC
36.75,90.0,178.9716058732885,SYNTHETIC
55.125,90.0,181.370180296707,SYNTHETIC
73.5,90.0,180.87005065610495,SYNTHETIC
91.875,90.0,178.96070233615404,SYNTHETIC
110.25,90.0,176.0532260149039,SYNTHETIC
128.625,90.0,171.8956990953658,SYNTHETIC
147.0,90.0,168.9448884778096,SYNTHETIC
0.0,180.0,173.60827277908749,SYNTHETIC
18.375,180.0,176.53676982766012,SYNTHETIC
36.75,180.0,179.69158199239635,SYNTHETIC
55.125,180.0,181.01957426997083,SYNTHETIC
73.5,180.0,181.0223105171296,SYNTHETIC
91.875,180.0,179.00955693969698,SYNTHETIC
110.25,180.0,175.85734735310058,SYNTHETIC
128.625,180.0,173.0720935709778,SYNTHETIC
147.0,180.0,169.33638023009902,SYNTHETIC
0.0,270.0,172.37390291823218,SYNTHETIC
18.375,270.0,177.3021107098385,SYNTHETIC
36.75,270.0,179.5620066081603,SYNTHETIC
55.125,270.0,180.8025455208189,SYNTHETIC
73.5,270.0,180.72956707252618,SYNTHETIC
91.875,270.0,179.99144214883745,SYNTHETIC
110.25,270.0,176.15950836522532,SYNTHETIC
128.625,270.0,173.15391129735966,SYNTHETIC
147.0,270.0,168.46355292124156,SYNTHETIC
