r_mm,theta_deg,thickness_nm,data_source
0.0,0.0,142.51333854561548,SYNTHETIC
18.375,0.0,146.13020074024735,SYNTHETIC
36.75,0.0,149.89488032006068,SYNTHETIC
55.125,0.0,151.65113418801934,SYNTHETIC
73.5,0.0,150.1840003407642,SYNTHETIC
91.875,0.0,148.86886455889442,SYNTHETIC
110.25,0.0,145.0839908870049,SYNTHETIC
128.625,0.0,142.85994927662074,SYNTHETIC
147.0,0.0,139.4599815865211,SYNTHETIC
0.0,90.0,143.76370386806101,SYNTHETIC
18.375,90.0,146.57100172250298,SYNTHETIC
36.75,90.0,150.3043757597595,SYNTHETIC
55.125,90.0,149.68792226419419,SYNTHETIC
73.5,90.0,150.1666522693522,SYNTHETIC
91.875,90.0,148.85937325285792,SYNTHETIC
110.25,90.0,145.7005025287569,SYNTHETIC
128.625,90.0,142.05495727488676,SYNTHETIC
147.0,90.0,138.77645193340285,SYNTHETIC
0.0,180.0,141.77806355313265,SYNTHETIC
18.375,180.0,147.80101715752184,SYNTHETIC
36.75,180.0,148.79237329505386,SYNTHETIC
55.125,180.0,150.38965683567184,SYNTHETIC
73.5,180.0,150.89797955357406,SYNTHETIC
91.875,180.0,148.33619281534953,SYNTHETIC
110.25,180.0,146.42575297745918,SYNTHETIC
128.625,180.0,143.18883267166908,SYNTHETIC
147.0,180.0,138.53602037565364,SYNTHETIC
0.0,270.0,142.55616442664746,SYNTHETIC
18.375,270.0,145.73665722411343,SYNTHETIC
36.75,270.0,148.7618758028738,SYNTHETIC
55.125,270.0,150.05387444556482,SYNTHETIC
73.5,270.0,151.14760202798846,SYNTHETIC
91.875,270.0,149.49681375768745,SYNTHETIC
110.25,270.0,146.48557603668746,SYNTHETIC
128.625,270.0,142.28350716443072,SYNTHETIC
147.0,270.0,138.56911587718568,SYNTHETIC
